symbol,price,ret_5d,ret_20d,vol_20d,score,alpha_label
EXC,48.84000015258789,0.0014000000000000002,0.10817100772216048,0.57,0.1529,➖ NEUTRAL
PNW,101.7300033569336,-0.0005,0.05946684975519112,0.74,0.149,➖ NEUTRAL
KEYS,283.760009765625,-0.0026,0.1921687449463516,3.33,0.1447,➖ NEUTRAL
ATO,184.3000030517578,-0.0058,0.053157107923385905,0.53,0.1383,➖ NEUTRAL
MPC,226.74000549316406,0.0432,0.0921986133586099,2.15,0.1363,➖ NEUTRAL
PLTR,151.60000610351562,-0.006999999999999999,0.11733501096050758,2.13,0.136,➖ NEUTRAL
ROST,212.5500030517578,-0.0106,0.10392651118403351,1.3,0.1288,➖ NEUTRAL
IT,160.38999938964844,-0.061900000000000004,-0.007057508811140756,2.17,0.1261,➖ NEUTRAL
PSX,172.33009338378906,0.0354,0.07583178927392242,1.45,0.1208,➖ NEUTRAL
FDS,209.61000061035156,-0.0681,0.08738456681853801,2.29,0.1139,➖ NEUTRAL
VLO,234.00999450683594,0.0262,0.14755784919614112,2.14,0.1024,➖ NEUTRAL
EOG,134.10000610351562,0.023399999999999997,0.13432587310810762,1.52,0.0969,➖ NEUTRAL
APA,33.130001068115234,0.0232,0.17232840763590085,2.29,0.0963,➖ NEUTRAL
DELL,149.8791046142578,0.0229,0.20714481470329793,3.34,0.0959,➖ NEUTRAL
LYB,67.37000274658203,0.0226,0.14659450438923272,2.18,0.0952,➖ NEUTRAL
VRSK,205.08999633789062,-0.028999999999999998,0.18023819586447054,2.05,0.092,➖ NEUTRAL
PANW,166.33999633789062,0.0195,0.00629155031417139,1.61,0.089,➖ NEUTRAL
ROP,354.0799865722656,-0.0326,0.06075494164450079,1.09,0.0848,➖ NEUTRAL
ADSK,253.6999969482422,-0.0395,0.09076056985565462,2.02,0.0711,➖ NEUTRAL
EXPE,229.0,-0.08960000000000001,-0.01756505551264531,3.66,0.0708,➖ NEUTRAL
SO,97.6449966430664,0.0046,0.083116699132882,0.58,0.0592,➖ NEUTRAL
DUK,132.02499389648438,0.0032,0.06349401157069146,0.65,0.0563,➖ NEUTRAL
INTU,443.7925109863281,-0.0493,0.11034178557265073,3.23,0.0515,➖ NEUTRAL
AXON,509.2099914550781,-0.1074,0.17207958832423986,3.75,0.0352,➖ NEUTRAL
WDC,268.80999755859375,0.0378,-0.01753977778003335,3.37,0.0255,➖ NEUTRAL
VRSN,235.72999572753906,-0.0124,0.09702766222588077,1.42,0.0251,➖ NEUTRAL
ENPH,42.310001373291016,0.0282,-0.12274514254890279,3.56,0.0064,➖ NEUTRAL
TYL,355.7900085449219,-0.0276,0.04875463093565768,1.97,-0.0051,➖ NEUTRAL
STX,375.0166931152344,0.0209,-0.07914869707738648,3.51,-0.0082,➖ NEUTRAL
CAH,219.8300018310547,0.0176,-0.019710136762297936,1.18,-0.0147,➖ NEUTRAL
AMGN,373.45001220703125,0.0159,0.025799887203347138,1.24,-0.0182,➖ NEUTRAL
PAYC,131.4499969482422,-0.0355,0.110337321382183,2.33,-0.021,➖ NEUTRAL
SMH,401.0299987792969,0.0144,-0.03315010376697636,1.73,-0.0213,➖ NEUTRAL
SOXX,342.0899963378906,0.0128,-0.05027766589505711,1.87,-0.0244,➖ NEUTRAL
BIIB,190.47999572753906,0.0128,-0.0037656968211041697,1.54,-0.0245,➖ NEUTRAL
JNJ,242.63999938964844,0.0126,0.012745573202102012,0.79,-0.0249,➖ NEUTRAL
VTR,86.01000213623047,0.0124,0.003734387743109524,0.49,-0.0253,➖ NEUTRAL
NEE,92.22000122070312,0.012,0.016296104472642625,1.11,-0.0261,➖ NEUTRAL
PFE,26.915000915527344,0.0115,-0.029390502710526123,1.0,-0.0271,➖ NEUTRAL
MCK,941.2550048828125,0.0106,-0.011700326100296143,1.3,-0.0287,➖ NEUTRAL
COST,992.22998046875,0.0098,0.014404855756132928,0.88,-0.0303,➖ NEUTRAL
LLY,991.4000854492188,0.0083,-0.021823329952522896,1.59,-0.0334,➖ NEUTRAL
NFLX,94.88999938964844,-0.0432,0.19178593464343896,2.53,-0.0363,➖ NEUTRAL
PEP,160.14999389648438,0.0055000000000000005,-0.04474849172946138,0.92,-0.039,➖ NEUTRAL
CHD,100.38500213623047,0.0053,0.0023406831311827414,1.1,-0.0395,➖ NEUTRAL
WELL,205.88499450683594,0.0040999999999999995,-0.006082889143253167,0.65,-0.0419,➖ NEUTRAL
HON,239.0,0.0026,-0.01035609379156266,1.07,-0.0448,➖ NEUTRAL
NEM,116.36499786376953,0.0024,-0.06420145894864748,1.68,-0.0453,➖ NEUTRAL
O,64.94999694824219,0.0023,0.0110757054443833,0.71,-0.0454,➖ NEUTRAL
AAPL,260.80999755859375,0.002,-0.053321242981510864,0.83,-0.046,➖ NEUTRAL
PCG,18.139999389648438,0.0006,0.06081865409229459,0.74,-0.0489,➖ NEUTRAL
